Title, Year, Director, Cast, URL, Synopsis, Genre, Type, Age rating, Number of seasons, Duration
Stranger Things,2016,The Duffer Brothers,Winona Ryder |  David Harbour |  Finn Wolfhard,netflix.com/watch/80077368?multiTitleId=81253580,When a young boy vanishes. a small town uncovers a mystery involving secret experiments. terrifying supernatural forces and one strange little girl.,TV Horror,serie,16+ ,3 Seasons,-
Élite,2018,Carlos Montero |  Darío Madrona,Danna Paola |  Itzan Escamilla |  Miguel Bernardeau,netflix.com/watch/80201009?multiTitleId=81253580,When three working-class teens enroll in an exclusive private school in Spain. the clash between them and the wealthy students leads to murder.,TV Mysteries,serie,16+ ,3 Seasons,-
Un jefe en pañales: De vuelta a los negocios,2018,-,JP Karliak |  Pierce Gagnon |  Kevin Michael Richardson,netflix.com/watch/80178788?multiTitleId=81253580,The Boss Baby brings his big brother Tim to the office to teach him the art of business in this animated series sprung from the hit film.,TV Cartoons,serie,7+ ,4 Seasons,-
Así nos ven,2019,Ava DuVernay,Asante Blackk |  Caleel Harris |  Ethan Herisse,netflix.com/watch/80200643?multiTitleId=81253580,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,Social Issue TV Dramas,serie,16+ ,1 Season,-
El amor es ciego,2020,-,Nick Lachey |  Vanessa Lachey,netflix.com/watch/81006558?multiTitleId=81253580,Nick and Vanessa Lachey host this social experiment where single men and women look for love and get engaged. all before meeting in person.,Competition Reality TV,serie,16+ ,1 Season,-
Nuestro planeta,2019,-,David Attenborough,netflix.com/watch/80094026?multiTitleId=81253580,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,Docuseries,serie,7+ ,1 Season,-
Grace and Frankie,2015,Marta Kauffman |  Howard J. Morris,Jane Fonda |  Lily Tomlin |  Martin Sheen,netflix.com/watch/80017360?multiTitleId=81253580,They’re not friends. but when their husbands leave them for each other. proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series.,TV Comedies,serie,16+ ,6 Seasons,-
